Name,Rating,SkillsMoves,WeakFoot,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Speed,Phyiscality/Positioning,BaseStats,InGameStats,Position,WorkRate,Club,Country,League,Price
Messi,94,4,4,92,88,86,95,24,62,447,2083,RW,M\L,FC Barcelona,Argentina,Liga BBVA,1403500
Cristiano Ronaldo,93,5,4,92,93,80,90,33,78,466,2154,LW,H\L,Real Madrid,Portugal,Liga BBVA,1753000
Robben,90,4,2,92,86,82,92,32,64,448,2068,RM,H\L,FC Bayern,Netherlands,Bundesliga,401500
Neuer,90,1,4,85,87,91,86,58,90,497,974,GK,M\M,FC Bayern,Germany,Bundesliga,214500
Suárez,90,4,4,82,88,79,88,42,79,458,2125,ST,H\M,FC Barcelona,Uruguay,Liga BBVA,442500
Ibrahimovic,89,4,4,73,90,81,85,31,86,446,2057,ST,M\L,PSG,Sweden,Ligue 1,413300
Hazard,89,4,4,90,82,84,92,32,64,444,2044,LM,H\M,Chelsea,Belgium,Barclays PL,370000
Iniesta,88,4,4,75,72,87,90,59,63,446,2072,CM,H\M,FC Barcelona,Spain,Liga BBVA,74500
Thiago Silva,88,3,3,74,57,73,73,90,79,446,2099,CB,H\H,PSG,Brazil,Ligue 1,89000
David Silva,88,4,2,73,74,89,89,32,58,415,1985,CAM,H\L,Manchester City,Spain,Barclays PL,86000
Neymar,88,5,5,90,80,72,92,30,58,422,1977,LW,H\M,FC Barcelona,Brazil,Liga BBVA,479000
Lahm,87,3,3,75,56,84,85,87,66,453,2135,CDM,M\H,FC Bayern,Germany,Bundesliga,54500
Chiellini,87,2,2,77,47,56,58,90,84,412,1867,CB,L\H,Juventus,Italy,Serie A TIM,72500
Agüero,87,4,4,89,87,77,89,23,68,433,1996,ST,H\M,Manchester City,Argentina,Barclays PL,412500
Sergio Ramos,87,3,3,79,60,71,66,87,81,444,2070,CB,H\M,Real Madrid,Spain,Liga BBVA,141000
Ribéry,87,5,4,87,77,84,91,25,61,425,1961,LM,H\M,FC Bayern,France,Bundesliga,202500
Cesc Fàbregas,87,3,3,68,78,90,81,64,65,446,2110,CM,H\M,Chelsea,Spain,Barclays PL,63250
Bale,87,4,3,94,83,83,84,63,80,487,2206,RM,H\M,Real Madrid,Wales,Liga BBVA,522500
Özil,87,4,2,72,74,85,86,24,57,398,1880,CAM,M\L,Arsenal,Germany,Barclays PL,50500
Modric,87,4,4,76,74,84,89,71,68,462,2175,CM,H\M,Real Madrid,Croatia,Liga BBVA,94500
Kroos,87,3,5,56,81,88,82,66,69,442,2081,CM,M\M,Real Madrid,Germany,Liga BBVA,48125
Boateng,87,2,4,79,50,69,68,87,84,437,1940,CB,M\M,FC Bayern,Germany,Bundesliga,95000
Lewandowski,87,3,4,80,85,74,84,38,80,441,2034,ST,M\M,FC Bayern,Poland,Bundesliga,199500
Rodríguez,87,4,3,78,86,84,85,40,72,445,2072,CAM,M\M,Real Madrid,Colombia,Liga BBVA,100000
Rooney,86,3,4,75,86,81,81,47,87,457,2164,ST,M\H,Manchester Utd,England,Barclays PL,95500
Schweinsteiger,86,3,3,52,79,84,79,76,78,448,2178,CM,H\H,Manchester Utd,Germany,Barclays PL,45250
Tévez,86,3,3,87,88,76,88,45,84,468,2172,ST,H\H,Boca Juniors,Argentina,Primera División,69300
Benzema,86,4,4,83,84,75,81,22,74,419,1915,ST,M\L,Real Madrid,France,Liga BBVA,84250
Hummels,86,2,3,64,58,74,70,88,77,431,1994,CB,H\M,Bor. Dortmund,Germany,Bundesliga,46375
Diego Costa,86,3,4,82,83,63,79,40,88,435,1932,ST,H\M,Chelsea,Spain,Barclays PL,102500
Vidal,86,3,4,77,79,80,81,83,83,483,2263,CM,H\H,FC Bayern,Chile,Bundesliga,88500
Sánchez,86,4,3,87,83,78,88,39,73,448,2068,LW,H\H,Arsenal,Chile,Barclays PL,196000
Reus,86,4,4,90,84,85,86,39,64,448,2097,LM,M\M,Bor. Dortmund,Germany,Bundesliga,245500
Sergio Busquets,86,3,3,53,59,77,74,83,80,426,1980,CDM,M\M,FC Barcelona,Spain,Liga BBVA,16750
Müller,86,3,4,77,84,80,79,46,72,438,2078,CF,H\H,FC Bayern,Germany,Bundesliga,56750
Courtois,86,1,3,84,87,69,88,46,86,460,863,GK,M\M,Chelsea,Belgium,Barclays PL,68250
De Gea,86,1,3,88,81,86,89,51,83,478,879,GK,M\M,Manchester Utd,Spain,Barclays PL,125500
Pogba,86,4,4,77,80,82,86,74,88,487,2255,CM,H\M,Juventus,France,Serie A TIM,226500
De Bruyne,86,4,5,77,83,86,84,40,75,445,2114,CAM,H\M,Manchester City,Belgium,Barclays PL,148500
Terry,85,2,4,34,47,57,52,87,81,358,1695,CB,M\H,Chelsea,England,Barclays PL,11875
Touré,85,3,4,76,83,81,79,70,86,475,2167,CM,M\L,Manchester City,Ivory Coast,Barclays PL,122455
Cech,85,1,3,83,84,73,84,45,83,452,793,GK,M\M,Arsenal,Czech Republic,Barclays PL,33875
Kompany,85,2,3,69,54,62,65,86,81,417,1886,CB,M\M,Manchester City,Belgium,Barclays PL,60000
Santi Cazorla,85,4,5,73,78,85,87,56,64,443,2091,CAM,M\M,Arsenal,Spain,Barclays PL,42250
Piqué,85,2,3,64,54,67,60,86,76,407,1844,CB,H\M,FC Barcelona,Spain,Liga BBVA,21875
Naldo,85,2,4,73,69,64,63,88,76,433,1953,CB,H\M,VfL Wolfsburg,Brazil,Bundesliga,38125
Cavani,85,3,3,76,83,71,81,42,80,433,2029,ST,H\H,PSG,Uruguay,Ligue 1,24250
Godín,85,2,3,70,48,63,62,87,78,408,1876,CB,M\H,Atlético Madrid,Uruguay,Liga BBVA,18250
Di María,85,4,2,88,79,83,86,49,70,455,2105,CAM,H\M,PSG,Argentina,Ligue 1,122500
Alaba,85,3,4,86,72,81,83,84,72,478,2237,LB,H\M,FC Bayern,Austria,Bundesliga,117000
Buffon,84,1,2,85,79,71,83,49,89,456,944,GK,M\M,Juventus,Italy,Serie A TIM,19000
Casillas,84,1,2,87,79,67,88,65,79,465,926,GK,M\M,FC Porto,Spain,LIGA NOS,8300
Pirlo,84,2,4,41,71,93,81,54,58,398,1943,CM,L\L,NY City FC,Italy,MLS,4800
van Persie,84,4,3,67,86,81,81,33,67,415,1964,ST,M\L,Fenerbahçe SK,Netherlands,Süper Lig,8400
Gerrard,84,3,3,54,82,86,75,69,80,446,2139,CM,M\M,LA Galaxy,England,MLS,4700
Xabi Alonso,84,2,4,33,69,88,77,76,70,413,2038,CDM,L\M,FC Bayern,Spain,Bundesliga,10625
Pepe,84,2,3,73,50,58,59,86,83,409,1816,CB,M\H,Real Madrid,Portugal,Liga BBVA,21125
Barzagli,84,2,3,75,36,55,59,88,77,390,1751,CB,L\H,Juventus,Italy,Serie A TIM,19875
Sneijder,84,3,5,75,80,86,84,45,62,432,2034,CAM,M\L,Galatasaray SK,Netherlands,Süper Lig,10450
Dani Alves,84,3,3,86,70,76,83,78,69,462,2158,RB,H\L,FC Barcelona,Brazil,Liga BBVA,34375
Higuaín,84,3,4,80,84,68,81,22,71,406,1845,ST,H\M,Napoli,Argentina,Serie A TIM,29500
Lloris,84,1,1,86,82,68,88,65,81,470,847,GK,M\M,Spurs,France,Barclays PL,50750
Miranda,84,2,3,76,49,56,57,86,80,404,1816,CB,M\M,Inter,Brazil,Serie A TIM,22125
Rakitic,84,3,3,68,82,86,82,56,67,441,2063,CM,M\M,FC Barcelona,Croatia,Liga BBVA,24875
Matuidi,84,2,3,75,67,77,75,83,81,458,2113,CDM,H\H,PSG,France,Ligue 1,30750
Marchisio,84,4,4,81,74,82,83,77,78,475,2221,CM,H\H,Juventus,Italy,Serie A TIM,38500
Benatia,84,2,3,65,44,54,61,86,83,393,1715,CB,M\M,FC Bayern,Morocco,Bundesliga,17500
Javi Martinez,84,2,3,52,61,71,65,84,79,412,1922,CB,M\M,FC Bayern,Spain,Bundesliga,10125
Juan Mata,84,4,3,71,75,84,87,27,55,399,1933,RM,M\M,Manchester Utd,Spain,Barclays PL,18750
Pjanic,84,3,4,72,75,85,84,63,66,445,2104,CM,M\M,Roma,Bosnia Herzegovina,Serie A TIM,12750
Oscar,84,4,3,79,75,81,84,43,46,408,1922,CAM,M\H,Chelsea,Brazil,Barclays PL,29125
Coutinho,84,4,4,82,74,81,87,33,56,413,1918,CAM,H\M,Liverpool,Brazil,Barclays PL,49250
Jordi Alba,84,3,3,92,69,74,81,80,76,472,2143,LB,H\M,FC Barcelona,Spain,Liga BBVA,34000
Hulk,84,4,3,85,87,81,82,43,86,464,2096,RW,H\M,Zenit,Brazil,Russian League,69500
Pastore,84,4,4,74,77,84,86,58,68,447,2051,CM,H\M,PSG,Argentina,Ligue 1,25625
Matic,84,3,3,67,70,77,75,82,88,459,2096,CDM,M\H,Chelsea,Serbia,Barclays PL,33250
Götze,84,4,4,72,73,81,89,32,62,409,1922,CAM,M\M,FC Bayern,Germany,Bundesliga,44250
Otamendi,84,2,3,75,56,56,54,86,82,409,1879,CB,M\M,Manchester City,Argentina,Barclays PL,59000
Leno,84,1,4,84,84,81,85,46,83,463,865,GK,M\M,Bayer 04,Germany,Bundesliga,21500
Lacazette,84,4,4,88,85,74,85,34,73,439,2033,ST,H\M,Olympique Lyon,France,Ligue 1,85000
Martínez,84,4,4,81,82,67,79,44,85,438,1990,ST,H\M,Atlético Madrid,Colombia,Liga BBVA,44375
Isco,84,4,3,75,75,80,87,32,63,412,1921,CAM,H\M,Real Madrid,Spain,Liga BBVA,34000
Verratti,84,4,4,68,58,83,87,78,69,443,2083,CM,H\H,PSG,Italy,Ligue 1,19125
De Rossi,83,2,4,68,66,74,72,82,84,446,2101,CDM,M\H,Roma,Italy,Serie A TIM,6850
Mertesacker,83,2,3,31,41,57,48,88,75,340,1554,CB,M\M,Arsenal,Germany,Barclays PL,3900
Mathieu,83,2,2,76,64,66,55,84,82,427,1977,CB,H\M,FC Barcelona,France,Liga BBVA,16625
Vidic,83,2,3,52,33,48,50,85,80,348,1589,CB,L\H,Inter,Serbia,Serie A TIM,2950
Mascherano,83,2,3,68,59,70,69,85,80,431,2009,CB,M\H,FC Barcelona,Argentina,Liga BBVA,10150
Turan,83,4,4,75,74,82,87,63,73,454,2126,RM,H\H,FC Barcelona,Turkey,Liga BBVA,11125
Hart,83,1,3,85,78,76,86,59,80,464,917,GK,M\M,Manchester City,England,Barclays PL,30875
João Moutinho,83,3,4,71,76,83,82,71,71,454,2166,CAM,M\M,AS Monaco,Portugal,Ligue 1,3000
Handanovic,83,1,2,87,79,65,86,54,86,457,855,GK,M\M,Inter,Slovenia,Serie A TIM,20500
Baines,83,3,3,75,75,81,77,82,74,464,2192,LB,H\M,Everton,England,Barclays PL,11250
Mandanda,83,1,3,85,78,79,84,53,81,460,758,GK,M\M,Marseille,France,Ligue 1,4100
Cahill,83,2,3,73,58,52,62,86,76,407,1823,CB,M\M,Chelsea,England,Barclays PL,25125
Koscielny,83,2,3,78,40,62,65,84,75,404,1806,CB,M\H,Arsenal,France,Barclays PL,36875
Nasri,83,4,4,81,76,83,86,38,58,422,1947,LM,H\M,Manchester City,France,Barclays PL,16875
Diego Alves,83,1,2,88,76,76,88,55,77,460,1066,GK,M\M,Valencia CF,Brazil,Liga BBVA,4650
Falcao,83,4,4,72,82,64,79,37,73,407,1958,ST,H\M,Chelsea,Colombia,Barclays PL,17125
Ruffier,83,1,3,83,81,77,86,55,83,465,866,GK,M\M,Saint-Etienne,France,Ligue 1,2400
Garay,83,2,3,52,57,68,64,87,78,406,1887,CB,M\M,Zenit,Argentina,Russian League,3200
Sturridge,83,3,2,89,83,69,81,25,70,417,1880,ST,M\L,Liverpool,England,Barclays PL,96750
Hamšik,83,3,4,74,77,81,82,58,70,442,2052,CAM,H\M,Napoli,Slovakia,Serie A TIM,3350
Sokratis,83,2,3,75,53,57,60,86,83,414,1864,CB,M\M,Bor. Dortmund,Greece,Bundesliga,22625
Candreva,83,3,4,86,81,82,85,45,74,453,2086,RW,H\M,Lazio,Italy,Serie A TIM,18625
Bravo,83,1,3,83,82,84,86,58,78,471,988,GK,M\M,FC Barcelona,Chile,Liga BBVA,4450
