Name,Rating,SkillsMoves,WeakFoot,Pace,Shooting,Passing,Dribbling,Defending,Phyiscality,BaseStats,InGameStats,Position,WorkRate,Club,Country,League,Price
Lionel Messi,94,4,4,87,92,92,96,39,66,472,2297,RW,M\L,FC Barcelona,Argentina,LaLiga Santander,902927
Cristiano Ronaldo,93,5,4,90,93,82,89,35,78,467,2265,ST,H\L,Piemonte Calcio,Portugal,Serie A TIM,1738803
Neymar Jr,92,5,5,91,85,87,95,32,58,448,2197,LW,H\M,Paris Saint-Germain,Brazil,Ligue 1 Conforama,713949
Kevin De Bruyne,91,4,5,76,86,92,87,61,78,480,2311,CAM,H\H,Manchester City,Belgium,Premier League,368441
Eden Hazard,91,4,4,91,83,86,94,35,66,455,2191,LW,H\M,Real Madrid,Belgium,LaLiga Santander,485872
Jan Oblak,91,1,3,87,92,78,89,50,90,479,1044,GK,M\M,Atlético Madrid,Slovenia,LaLiga Santander,40311
Marc-André ter Stegen,90,1,4,88,85,88,90,43,88,482,1073,GK,M\M,FC Barcelona,Germany,LaLiga Santander,39476
Mohamed Salah,90,4,3,93,86,81,89,45,74,468,2228,RW,H\M,Liverpool,Egypt,Premier League,344173
Virgil van Dijk,90,2,3,77,60,70,72,90,86,455,2130,CB,M\M,Liverpool,Netherlands,Premier League,509231
Luka Modric,90,4,4,74,76,89,90,72,66,467,2308,CM,H\H,Real Madrid,Croatia,LaLiga Santander,93750
Giorgio Chiellini,89,2,3,68,46,58,62,90,82,406,1915,CB,M\H,Piemonte Calcio,Italy,Serie A TIM,29411
De Gea,89,1,3,90,84,81,92,57,85,489,1109,GK,M\M,Manchester United,Spain,Premier League,73663
Sergio Agüero,89,4,4,80,90,77,88,33,74,442,2161,ST,H\M,Manchester City,Argentina,Premier League,225000
Luis Suárez,89,3,4,73,89,80,84,51,84,461,2250,ST,H\M,FC Barcelona,Uruguay,LaLiga Santander,93233
Sergio Busquets,89,3,3,42,62,80,81,85,80,430,2090,CDM,M\M,FC Barcelona,Spain,LaLiga Santander,23605
N'Golo Kanté,89,2,3,78,65,77,81,87,83,471,2209,CDM,M\H,Chelsea,France,Premier League,307698
Robert Lewandowski,89,4,4,77,87,74,85,41,82,446,2181,ST,H\M,FC Bayern München,Poland,Bundesliga,110962
Alisson,89,1,3,85,84,85,89,52,90,485,1015,GK,M\M,Liverpool,Brazil,Premier League,58092
Harry Kane,89,3,4,70,91,79,81,47,83,451,2213,ST,H\H,Tottenham Hotspur,England,Premier League,51831
Sergio Ramos,89,3,3,72,68,75,74,87,85,461,2270,CB,H\M,Real Madrid,Spain,LaLiga Santander,170359
Kalidou Koulibaly,89,2,3,71,28,54,68,89,87,397,1764,CB,M\H,Napoli,Senegal,Serie A TIM,53191
Kylian Mbappé,89,5,4,96,84,78,90,39,75,462,2175,ST,H\L,Paris Saint-Germain,France,Ligue 1 Conforama,943770
Antoine Griezmann,89,4,3,81,86,84,89,57,72,469,2326,CF,H\H,FC Barcelona,France,LaLiga Santander,277134
Paulo Dybala,88,4,3,83,82,84,90,43,64,446,2190,CAM,M\M,Piemonte Calcio,Argentina,Serie A TIM,103163
Marco Reus,88,4,4,85,88,84,87,45,66,455,2217,CAM,H\M,Borussia Dortmund,Germany,Bundesliga,266569
Paul Pogba,88,5,4,74,81,86,85,66,86,478,2311,CM,H\M,Manchester United,France,Premier League,404073
David Silva,88,4,2,65,74,88,89,52,57,425,2124,CAM,H\M,Manchester City,Spain,Premier League,21556
Ederson,88,1,3,86,82,93,88,64,86,499,1157,GK,M\M,Manchester City,Brazil,Premier League,39637
Raheem Sterling,88,4,3,93,79,78,89,45,57,441,2074,RW,H\M,Manchester City,England,Premier League,147078
Piqué,88,2,3,56,61,72,69,88,80,426,2029,CB,H\M,FC Barcelona,Spain,LaLiga Santander,19030
Manuel Neuer,88,1,4,87,87,91,87,56,85,493,1143,GK,M\M,FC Bayern München,Germany,Bundesliga,58938
Sadio Mané,88,4,4,94,83,77,88,44,74,460,2200,LW,H\M,Liverpool,Senegal,Premier League,346389
Christian Eriksen,88,4,5,73,81,90,84,53,63,444,2162,CAM,H\H,Tottenham Hotspur,Denmark,Premier League,104692
Hugo Lloris,88,1,1,89,82,68,91,64,84,478,1014,GK,M\M,Tottenham Hotspur,France,Premier League,36350
Aubameyang,88,4,4,94,85,75,80,37,69,440,2104,ST,M\L,Arsenal,Gabon,Premier League,353397
Thibaut Courtois,88,1,3,85,89,72,87,48,85,466,972,GK,M\M,Real Madrid,Belgium,LaLiga Santander,33429
Toni Kroos,88,3,5,45,80,90,81,70,69,435,2149,CM,M\M,Real Madrid,Germany,LaLiga Santander,19669
Edinson Cavani,88,3,4,75,86,72,79,55,83,450,2196,ST,H\H,Paris Saint-Germain,Uruguay,Ligue 1 Conforama,18878
Diego Godín,88,2,3,60,48,64,63,89,83,407,1942,CB,M\H,Inter,Uruguay,Serie A TIM,18161
Samir Handanovic,88,1,2,88,85,69,89,53,89,473,941,GK,M\M,Inter,Slovenia,Serie A TIM,20105
Fernandinho,87,3,4,66,74,79,79,84,79,461,2227,CDM,M\H,Manchester City,Brazil,Premier League,37653
Bernardo Silva,87,4,3,81,76,83,92,51,67,450,2150,RW,H\H,Manchester City,Portugal,Premier League,28526
Aymeric Laporte,87,2,3,64,50,71,69,88,82,424,2028,CB,M\M,Manchester City,France,Premier League,42604
Jordi Alba,87,3,3,90,69,81,83,79,73,475,2269,LB,H\M,FC Barcelona,Spain,LaLiga Santander,69613
Mats Hummels,87,3,3,51,58,76,73,89,76,423,2067,CB,H\M,Borussia Dortmund,Germany,Bundesliga,18581
Thiago,87,5,3,69,74,85,90,69,63,450,2248,CM,M\M,FC Bayern München,Spain,Bundesliga,19696
Jan Vertonghen,87,3,3,63,63,74,73,87,79,439,2123,CB,H\H,Tottenham Hotspur,Belgium,Premier League,18105
Toby Alderweireld,87,2,3,64,55,72,67,88,79,425,2057,CB,M\M,Tottenham Hotspur,Belgium,Premier League,18750
Heung Min Son,87,4,5,88,86,80,87,42,68,451,2153,CF,H\H,Tottenham Hotspur,Korea Republic,Premier League,407082
Casemiro,87,2,3,62,72,75,72,85,89,455,2206,CDM,M\H,Real Madrid,Brazil,LaLiga Santander,26966
Karim Benzema,87,4,4,76,82,80,86,39,77,440,2126,CF,M\L,Real Madrid,France,LaLiga Santander,25945
Lorenzo Insigne,87,4,4,89,79,85,91,35,47,426,2066,CF,H\M,Napoli,Italy,Serie A TIM,57167
Dries Mertens,87,4,4,88,83,80,90,35,53,429,2084,CF,H\L,Napoli,Belgium,Serie A TIM,126735
Thiago Silva,87,2,3,62,54,72,73,87,78,426,2092,CB,M\H,Paris Saint-Germain,Brazil,Ligue 1 Conforama,20113
Keylor Navas,87,1,3,90,81,75,90,54,82,472,1029,GK,M\M,Paris Saint-Germain,Costa Rica,Ligue 1 Conforama,13855
Leonardo Bonucci,86,2,4,58,58,69,71,87,79,422,2042,CB,L\H,Piemonte Calcio,Italy,Serie A TIM,10253
Miralem Pjanic,86,3,4,68,68,87,85,75,67,450,2228,CM,M\M,Piemonte Calcio,Bosnia and Herzegovina,Serie A TIM,9574
Wojciech Szczesny,86,1,3,85,82,73,88,49,86,463,966,GK,M\M,Piemonte Calcio,Poland,Serie A TIM,11510
Leroy Sané,86,4,3,95,81,79,86,38,70,449,2131,LW,H\M,Manchester City,Germany,Premier League,192622
Coutinho,86,5,4,79,80,84,90,52,64,449,2178,LW,H\M,FC Bayern München,Brazil,Bundesliga,47241
Ivan Rakitic,86,3,4,62,81,86,81,74,70,454,2202,CM,M\M,FC Barcelona,Croatia,LaLiga Santander,10342
Samuel Umtiti,86,2,3,69,63,69,70,86,82,439,2115,CB,M\H,FC Barcelona,France,LaLiga Santander,44026
Thomas Müller,86,3,4,72,83,79,78,55,71,438,2136,CAM,H\H,FC Bayern München,Germany,Bundesliga,15252
Joshua Kimmich,86,3,4,72,69,86,84,79,78,468,2266,RB,H\L,FC Bayern München,Germany,Bundesliga,19516
Roberto Firmino,86,5,4,77,82,80,87,61,78,465,2231,CF,H\H,Liverpool,Brazil,Premier League,97313
Alexandre Lacazette,86,4,4,82,85,75,86,40,74,442,2143,ST,H\H,Arsenal,France,Premier League,99118
Isco,86,4,3,71,77,83,90,59,60,440,2140,CAM,M\L,Real Madrid,Spain,LaLiga Santander,14133
Marco Verratti,86,4,4,65,60,84,90,79,66,444,2190,CM,M\H,Paris Saint-Germain,Italy,Ligue 1 Conforama,9534
Marquinhos,86,3,3,74,41,73,71,86,77,422,2002,CB,M\H,Paris Saint-Germain,Brazil,Ligue 1 Conforama,26781
Ángel Di María,86,5,2,84,79,84,87,48,68,450,2191,RW,H\M,Paris Saint-Germain,Argentina,Ligue 1 Conforama,16484
Ciro Immobile,86,3,4,80,85,63,81,39,76,424,2028,ST,H\M,Lazio,Italy,Serie A TIM,17185
Milan Škriniar,86,2,4,69,41,59,66,87,82,404,1843,CB,M\H,Inter,Slovakia,Serie A TIM,19121
Parejo,86,3,4,41,80,88,79,70,69,427,2150,CM,M\M,Valencia CF,Spain,LaLiga Santander,9691
Alex Sandro,85,3,3,83,65,77,80,82,82,469,2233,LB,H\M,Piemonte Calcio,Brazil,Serie A TIM,87774
Blaise Matuidi,85,2,2,75,66,76,78,83,81,459,2201,CDM,M\H,Piemonte Calcio,France,Serie A TIM,35404
Axel Witsel,85,4,4,73,74,80,80,83,81,471,2267,CDM,M\H,Borussia Dortmund,Belgium,Bundesliga,50947
Romelu Lukaku,85,3,4,75,82,73,72,35,84,421,1997,ST,M\M,Inter,Belgium,Serie A TIM,14407
James Rodríguez,85,4,2,55,86,87,86,50,63,427,2134,CAM,M\M,Real Madrid,Colombia,LaLiga Santander,9016
David Alaba,85,3,4,83,73,81,80,80,76,473,2287,LB,M\M,FC Bayern München,Austria,Bundesliga,54192
Niklas Süle,85,2,3,72,42,55,51,86,82,388,1711,CB,M\M,FC Bayern München,Germany,Bundesliga,24180
Fabinho,85,3,2,68,69,78,77,85,83,460,2200,CDM,M\H,Liverpool,Brazil,Premier League,79640
Andrew Robertson,85,3,2,85,62,77,79,80,75,458,2116,LB,H\H,Liverpool,Scotland,Premier League,63718
Marcelo,85,5,4,81,74,83,89,77,79,483,2299,LB,H\L,Real Madrid,Brazil,LaLiga Santander,31271
Raphaël Varane,85,2,3,83,45,62,64,85,80,419,1920,CB,M\H,Real Madrid,France,LaLiga Santander,194114
Carvajal,85,3,3,81,47,78,81,82,80,449,2116,RB,H\H,Real Madrid,Spain,LaLiga Santander,16000
Gianluigi Donnarumma,85,1,3,90,80,74,90,49,80,463,979,GK,M\M,Milan,Italy,Serie A TIM,9284
Bruno Fernandes,85,4,4,77,83,87,85,65,74,471,2301,CAM,H\H,Sporting CP,Portugal,Liga NOS,6581
Allan,85,4,3,75,71,78,84,85,84,477,2235,CM,M\H,Napoli,Brazil,Serie A TIM,53558
Kostas Manolas,85,2,2,82,25,42,62,86,81,378,1687,CB,L\H,Napoli,Greece,Serie A TIM,68848
Koke,85,3,4,68,75,86,82,74,79,464,2233,RM,H\H,Atlético Madrid,Spain,LaLiga Santander,6970
Saúl,85,3,4,70,78,79,81,78,78,464,2224,CM,H\H,Atlético Madrid,Spain,LaLiga Santander,13935
José María Giménez,85,2,3,69,45,52,56,86,82,390,1784,CB,M\H,Atlético Madrid,Uruguay,LaLiga Santander,10039
