Name,Rating,SkillsMoves,WeakFoot,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Speed,Phyiscality/Positioning,BaseStats,InGameStats,Position,WorkRate,Club,Country,League,Price
Cristiano Ronaldo,94,5,4,90,93,81,90,35,79,468,2265,ST,H\L,Juventus,Portugal,Serie A TIM,1688245
Lionel Messi,94,4,4,88,91,88,96,32,61,456,2237,CF,M\M,FC Barcelona,Argentina,LaLiga Santander,791032
Neymar Jr,92,5,5,92,84,83,95,32,59,445,2178,LW,H\M,Paris Saint-Germain,Brazil,Ligue 1 Conforama,497919
De Gea,91,1,3,90,85,87,94,57,88,501,1095,GK,M\M,Manchester United,Spain,Premier League,156933
Kevin De Bruyne,91,4,5,77,86,92,87,60,78,480,2312,CAM,H\H,Manchester City,Belgium,Premier League,301620
Luis Suárez,91,3,4,80,90,79,87,52,85,473,2280,ST,H\M,FC Barcelona,Uruguay,LaLiga Santander,300171
Eden Hazard,91,4,4,91,82,86,94,35,67,455,2186,LW,H\M,Chelsea,Belgium,Premier League,377657
Luka Modric,91,4,4,76,76,90,91,70,67,470,2312,CM,H\H,Real Madrid,Croatia,LaLiga Santander,128756
Sergio Ramos,91,3,3,75,63,71,72,91,84,456,2201,CB,H\M,Real Madrid,Spain,LaLiga Santander,207806
Robert Lewandowski,90,4,4,78,89,75,85,41,82,450,2187,ST,H\M,FC Bayern München,Poland,Bundesliga,135122
Manuel Neuer,90,1,4,91,88,91,88,54,88,500,1102,GK,M\M,FC Bayern München,Germany,Bundesliga,71420
Thibaut Courtois,90,1,3,87,91,74,88,46,87,473,955,GK,M\M,Real Madrid,Belgium,LaLiga Santander,73178
Toni Kroos,90,3,5,67,82,89,82,74,69,463,2228,CM,M\M,Real Madrid,Germany,LaLiga Santander,54984
Diego Godín,90,2,3,68,48,65,64,89,84,418,1980,CB,M\H,Atlético Madrid,Uruguay,LaLiga Santander,38656
Jan Oblak,90,1,3,86,92,78,89,43,88,476,968,GK,M\M,Atlético Madrid,Slovenia,LaLiga Santander,44911
Giorgio Chiellini,89,2,3,69,46,56,60,91,82,404,1904,CB,M\H,Juventus,Italy,Serie A TIM,57412
Paulo Dybala,89,4,3,85,85,84,91,28,66,439,2150,CAM,H\M,Juventus,Argentina,Serie A TIM,252086
Sergio Agüero,89,4,4,84,89,76,89,28,73,439,2131,ST,H\M,Manchester City,Argentina,Premier League,239473
David Silva,89,4,2,66,74,87,91,50,60,428,2130,CAM,H\M,Manchester City,Spain,Premier League,27289
Marc-André ter Stegen,89,1,4,87,85,88,90,38,85,473,952,GK,M\M,FC Barcelona,Germany,LaLiga Santander,48522
N'Golo Kanté,89,2,3,80,66,77,81,87,84,475,2220,CDM,M\H,Chelsea,France,Premier League,267707
Mats Hummels,89,3,3,65,58,76,73,90,76,438,2108,CB,H\M,FC Bayern München,Germany,Bundesliga,39339
Harry Kane,89,3,4,70,90,79,81,47,83,450,2198,ST,H\H,Tottenham Hotspur,England,Premier League,124366
Isco,89,4,3,72,81,85,92,61,62,453,2186,CAM,H\M,Real Madrid,Spain,LaLiga Santander,68410
Edinson Cavani,89,3,4,76,87,72,80,52,83,450,2190,ST,H\H,Paris Saint-Germain,Uruguay,Ligue 1 Conforama,52393
Antoine Griezmann,89,4,3,86,86,81,88,50,70,461,2252,ST,H\H,Atlético Madrid,France,LaLiga Santander,249848
Paul Pogba,88,5,4,75,79,86,85,69,87,481,2322,CM,H\L,Manchester United,France,Premier League,378200
Coutinho,88,5,4,81,81,86,91,45,64,448,2168,LW,H\H,FC Barcelona,Brazil,LaLiga Santander,76994
Sergio Busquets,88,3,3,43,62,79,78,85,80,427,2077,CDM,M\M,FC Barcelona,Spain,LaLiga Santander,18326
James Rodríguez,88,4,3,72,86,88,86,50,67,449,2198,CAM,M\M,FC Bayern München,Colombia,Bundesliga,61670
Mohamed Salah,88,4,3,92,84,79,89,45,72,461,2175,RW,H\M,Liverpool,Egypt,Premier League,281634
Christian Eriksen,88,4,5,74,82,89,86,53,64,448,2160,CAM,H\M,Tottenham Hotspur,Denmark,Premier League,113902
Hugo Lloris,88,1,1,88,84,68,92,65,83,480,985,GK,M\M,Tottenham Hotspur,France,Premier League,48229
Gareth Bale,88,4,3,95,88,84,85,58,76,486,2313,RW,H\M,Real Madrid,Wales,LaLiga Santander,430469
Marcelo,88,5,4,82,71,83,90,81,82,489,2330,LB,H\L,Real Madrid,Brazil,LaLiga Santander,118405
Casemiro,88,2,3,62,69,75,72,87,88,453,2187,CDM,M\H,Real Madrid,Brazil,LaLiga Santander,54234
Gonzalo Higuaín,88,3,4,73,87,70,83,31,74,418,2012,ST,H\M,Milan,Argentina,Serie A TIM,44647
Lorenzo Insigne,88,4,4,90,76,84,91,36,50,427,2053,LW,H\M,Napoli,Italy,Serie A TIM,66289
Thiago Silva,88,2,3,71,54,73,70,88,79,435,2113,CB,H\H,Paris Saint-Germain,Brazil,Ligue 1 Conforama,37960
Gianluigi Buffon,88,1,2,88,87,74,83,49,90,471,982,GK,M\M,Paris Saint-Germain,Italy,Ligue 1 Conforama,26886
Samir Handanovic,88,1,2,87,86,69,89,51,89,471,911,GK,M\M,Inter,Slovenia,Serie A TIM,35754
Romelu Lukaku,87,3,4,84,84,76,75,35,87,441,2069,ST,M\M,Manchester United,Belgium,Premier League,193896
Alexis Sánchez,87,4,3,82,83,79,89,45,77,455,2221,LW,H\H,Manchester United,Chile,Premier League,56228
Ivan Rakitic,87,3,3,62,84,87,82,72,69,456,2214,CM,H\H,FC Barcelona,Croatia,LaLiga Santander,26821
Piqué,87,2,3,55,61,69,66,87,76,414,1978,CB,H\M,FC Barcelona,Spain,LaLiga Santander,15558
Jordi Alba,87,3,3,93,69,79,83,79,72,475,2249,LB,H\M,FC Barcelona,Spain,LaLiga Santander,61368
Samuel Umtiti,87,2,3,72,64,71,72,88,82,449,2163,CB,M\H,FC Barcelona,France,LaLiga Santander,92877
Jan Vertonghen,87,3,3,63,63,73,72,88,79,438,2118,CB,H\H,Tottenham Hotspur,Belgium,Premier League,35548
Aubameyang,87,4,4,94,84,75,80,37,70,440,2098,ST,M\L,Arsenal,Gabon,Premier League,259007
Keylor Navas,87,1,3,90,81,75,90,54,82,472,994,GK,M\M,Real Madrid,Costa Rica,LaLiga Santander,15142
